                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.5552,                 1.7755,                  1.908,                0.48515,                0.57769,                 0.5673,                 0.2722,                 1.8426,                  1.808,                 2.0995,              0.0089358,              0.0089358,              0.0089358
                     46,                 1.5501,                 1.7842,                  1.886,                0.66144,                0.52123,                0.57562,                0.26731,                 1.7753,                 1.8134,                 2.0873,               0.008911,               0.008911,               0.008911
                     47,                  1.543,                 1.7777,                 1.8908,                 0.6762,                0.51784,                  0.594,                 0.2974,                  1.716,                 1.6908,                 2.0128,              0.0088863,              0.0088863,              0.0088863
                     48,                 1.5175,                 1.7283,                  1.871,                0.45283,                0.66823,                0.61286,                 0.3027,                 1.7211,                 1.7599,                 2.0283,              0.0088615,              0.0088615,              0.0088615
                     49,                 1.5219,                  1.759,                 1.8715,                0.49578,                0.61557,                0.59107,                 0.2754,                 1.7656,                 1.7228,                 2.1195,              0.0088368,              0.0088368,              0.0088368
                     50,                 1.5182,                 1.7132,                 1.8531,                0.53987,                0.61522,                0.60591,                0.27498,                    1.8,                 1.7702,                 2.1277,               0.008812,               0.008812,               0.008812
                     51,                 1.5225,                 1.7139,                 1.8599,                0.38718,                0.60205,                0.48763,                0.22606,                 1.7832,                 1.9971,                 2.1367,              0.0087872,              0.0087872,              0.0087872
                     52,                 1.5285,                 1.7397,                 1.8772,                0.47656,                0.60176,                0.57648,                0.26186,                 1.7411,                 1.8015,                 2.0814,              0.0087625,              0.0087625,              0.0087625
                     53,                 1.5056,                 1.7111,                  1.851,                0.72846,                 0.4968,                0.59762,                0.29414,                 1.7005,                   1.76,                 2.0338,              0.0087378,              0.0087378,              0.0087378
                     54,                 1.5225,                 1.7148,                  1.861,                0.71344,                0.52658,                0.58824,                0.27573,                 1.7455,                 1.7451,                 2.0541,               0.008713,               0.008713,               0.008713
                     55,                 1.5203,                  1.715,                 1.8526,                0.52108,                0.58245,                0.60041,                0.29191,                 1.6971,                 1.6938,                 2.0189,              0.0086882,              0.0086882,              0.0086882
                     56,                 1.5027,                 1.6782,                 1.8424,                0.54308,                 0.6104,                0.62011,                0.30943,                 1.7235,                 1.6247,                 2.0494,              0.0086635,              0.0086635,              0.0086635
                     57,                 1.5086,                  1.657,                 1.8475,                0.57478,                0.64043,                0.63893,                0.31307,                 1.7199,                 1.7199,                 2.0125,              0.0086388,              0.0086388,              0.0086388
                     58,                 1.5102,                  1.669,                 1.8445,                0.53342,                0.64192,                0.63116,                0.31644,                 1.7099,                 1.6439,                 2.0157,               0.008614,               0.008614,               0.008614
                     59,                 1.4992,                 1.6914,                  1.838,                0.54328,                0.60026,                0.62597,                0.31541,                 1.7079,                 1.6609,                 2.0324,              0.0085893,              0.0085893,              0.0085893
                     60,                 1.4974,                 1.6598,                 1.8361,                0.47882,                0.60265,                0.59912,                0.29946,                 1.7208,                 1.7203,                 2.0261,              0.0085645,              0.0085645,              0.0085645
                     61,                 1.4973,                 1.6938,                 1.8337,                 0.5021,                 0.6627,                0.57985,                 0.2823,                 1.7696,                 1.8468,                 2.0568,              0.0085398,              0.0085398,              0.0085398
                     62,                 1.4938,                 1.6709,                  1.827,                0.51351,                 0.6386,                0.63052,                0.31429,                 1.6906,                 1.6899,                 1.9985,               0.008515,               0.008515,               0.008515
                     63,                 1.4886,                 1.6403,                 1.8242,                0.54221,                0.63118,                0.62712,                0.31037,                 1.6909,                 1.7137,                 1.9564,              0.0084903,              0.0084903,              0.0084903
                     64,                 1.4806,                 1.6146,                 1.8181,                0.68688,                 0.5617,                0.62629,                0.30887,                 1.6986,                 1.6917,                 2.0158,              0.0084655,              0.0084655,              0.0084655
                     65,                 1.4922,                 1.6065,                 1.8294,                0.46082,                0.61978,                0.57245,                0.28069,                 1.7586,                 1.8666,                 2.0412,              0.0084408,              0.0084408,              0.0084408
                     66,                   1.49,                 1.6524,                 1.8319,                  0.776,                0.52004,                 0.6358,                 0.3162,                 1.6669,                 1.6269,                 2.0295,               0.008416,               0.008416,               0.008416
                     67,                 1.4803,                 1.6427,                 1.8295,                0.53546,                0.62799,                0.61546,                0.30298,                 1.7125,                 1.6661,                  2.099,              0.0083913,              0.0083913,              0.0083913
                     68,                  1.467,                 1.6202,                 1.8029,                0.58149,                 0.6588,                0.63675,                0.31236,                 1.7263,                 1.6357,                 2.0606,              0.0083665,              0.0083665,              0.0083665
                     69,                 1.4777,                 1.6361,                 1.8228,                0.51865,                0.62148,                 0.6306,                0.30646,                 1.7224,                 1.7057,                 2.0182,              0.0083418,              0.0083418,              0.0083418
                     70,                 1.4798,                 1.6167,                 1.8055,                0.53651,                0.64875,                0.61112,                 0.3022,                 1.6721,                 1.7272,                 2.0259,               0.008317,               0.008317,               0.008317
                     71,                 1.4778,                 1.6203,                 1.8045,                 0.5664,                0.66168,                0.66562,                0.33808,                 1.6837,                  1.557,                  2.005,              0.0082922,              0.0082922,              0.0082922
                     72,                 1.4637,                 1.6302,                 1.8009,                  0.576,                0.65336,                0.62439,                0.30645,                 1.7611,                 1.6758,                 2.1119,              0.0082675,              0.0082675,              0.0082675
                     73,                 1.4518,                  1.573,                 1.8037,                0.71762,                0.54933,                0.64149,                0.32114,                 1.6758,                 1.6449,                 1.9954,              0.0082428,              0.0082428,              0.0082428
                     74,                 1.4696,                 1.5939,                 1.7966,                0.58329,                0.51558,                0.63086,                0.31108,                 1.7014,                 1.6721,                 2.0176,               0.008218,               0.008218,               0.008218
                     75,                 1.4548,                 1.5965,                 1.7919,                0.54343,                0.68588,                0.64498,                0.31463,                 1.7021,                 1.6791,                 1.9632,              0.0081932,              0.0081932,              0.0081932
                     76,                 1.4502,                 1.5946,                 1.8001,                0.64272,                0.61275,                0.66541,                0.32967,                 1.6882,                 1.5492,                 2.0116,              0.0081685,              0.0081685,              0.0081685
                     77,                 1.4438,                 1.6088,                  1.794,                0.57124,                0.66424,                0.63635,                0.32261,                 1.6711,                 1.6724,                 1.9834,              0.0081437,              0.0081437,              0.0081437
                     78,                 1.4446,                 1.5981,                 1.7887,                0.53818,                0.62399,                0.60962,                0.28991,                 1.7322,                 1.8181,                 2.0486,               0.008119,               0.008119,               0.008119
                     79,                 1.4476,                 1.5643,                 1.7942,                0.47607,                0.62777,                0.58406,                0.28911,                 1.7621,                 1.8285,                 2.0811,              0.0080942,              0.0080942,              0.0080942
                     80,                 1.4606,                 1.5851,                 1.7972,                0.63173,                0.59496,                0.64004,                 0.3197,                 1.6581,                  1.628,                  1.988,              0.0080695,              0.0080695,              0.0080695
                     81,                 1.4294,                 1.5834,                 1.7815,                0.64942,                0.58036,                0.64904,                0.32339,                 1.6863,                  1.605,                 1.9952,              0.0080447,              0.0080447,              0.0080447
                     82,                 1.4517,                 1.5642,                 1.7815,                0.57848,                0.58742,                0.64088,                0.33325,                 1.6649,                 1.6026,                 1.9515,                0.00802,                0.00802,                0.00802
                     83,                 1.4323,                 1.5777,                 1.7781,                0.71909,                0.51793,                0.61084,                0.29686,                  1.773,                 1.6812,                 2.1131,              0.0079953,              0.0079953,              0.0079953
                     84,                 1.4718,                 1.6047,                  1.805,                0.56054,                0.62741,                0.63242,                0.31799,                 1.6311,                 1.7074,                 1.9854,              0.0079705,              0.0079705,              0.0079705
                     85,                  1.428,                 1.5616,                 1.7688,                 0.5683,                0.65423,                0.65064,                0.33077,                 1.6691,                 1.5756,                 1.9779,              0.0079457,              0.0079457,              0.0079457
                     86,                  1.453,                 1.6009,                 1.7995,                0.72853,                0.57661,                0.65493,                0.32597,                  1.635,                 1.6494,                 1.9763,               0.007921,               0.007921,               0.007921
                     87,                 1.4238,                 1.5565,                 1.7704,                0.77275,                0.52844,                0.65216,                0.32749,                 1.6392,                 1.5504,                  1.981,              0.0078963,              0.0078963,              0.0078963
                     88,                 1.4276,                 1.5533,                 1.7717,                0.60978,                0.56714,                0.65912,                0.33833,                 1.6247,                 1.5932,                 1.9613,              0.0078715,              0.0078715,              0.0078715
                     89,                 1.4465,                 1.5648,                 1.7766,                 0.5862,                0.65085,                0.65126,                0.33226,                 1.6597,                  1.633,                 2.0223,              0.0078467,              0.0078467,              0.0078467
                     90,                 1.4212,                 1.5133,                 1.7562,                0.52374,                0.68801,                0.63029,                0.32193,                 1.6511,                 1.6478,                 1.9605,               0.007822,               0.007822,               0.007822
                     91,                 1.4334,                 1.5429,                 1.7764,                0.54638,                0.66632,                  0.638,                0.32865,                 1.6414,                 1.6602,                 1.9852,              0.0077973,              0.0077973,              0.0077973
                     92,                  1.443,                 1.5363,                 1.7584,                 0.5473,                0.65094,                0.66824,                0.33681,                 1.6764,                 1.5424,                 2.0038,              0.0077725,              0.0077725,              0.0077725
                     93,                 1.4338,                  1.544,                 1.7695,                0.54059,                0.70037,                0.65926,                0.34009,                 1.6412,                 1.5656,                 1.9727,              0.0077478,              0.0077478,              0.0077478
                     94,                 1.4213,                 1.5383,                 1.7691,                0.60765,                0.64391,                0.65367,                0.34018,                  1.641,                 1.5242,                 1.9815,               0.007723,               0.007723,               0.007723
                     95,                 1.4305,                 1.5235,                 1.7689,                0.63802,                  0.618,                0.69047,                0.35624,                 1.6377,                 1.4878,                  1.973,              0.0076983,              0.0076983,              0.0076983
                     96,                 1.4119,                  1.529,                 1.7516,                0.58524,                0.67237,                0.66718,                0.33917,                  1.634,                 1.5812,                 1.9868,              0.0076735,              0.0076735,              0.0076735
                     97,                 1.4425,                  1.544,                 1.7784,                0.59802,                0.65015,                0.67339,                0.34819,                 1.6003,                 1.5442,                 1.9711,              0.0076488,              0.0076488,              0.0076488
                     98,                 1.4111,                 1.5114,                 1.7625,                0.59508,                0.63556,                0.65539,                 0.3318,                 1.6646,                  1.601,                  2.054,               0.007624,               0.007624,               0.007624
